Date,Active energy burned(Cal),Apple Watch stand hours(hr),Basal energy burned(Cal),Distance cycling(mi),Distance walking / running(mi),Exercise time(min),Flights climbed(count),Heart rate(count/min),Resting heart rate(count/min),Stand time(min),Step count(count),Walking heart rate average(count/min)
2022-10-01,677.246,12.000,1862.125,,6.098,41.000,1.000,60.526,61.000,176.000,11965.000,83.000
2022-10-02,553.062,12.000,1926.579,,4.213,4.000,2.000,57.486,51.000,186.000,8270.000,76.000
2022-10-03,543.255,14.000,1881.289,,2.560,51.000,7.000,59.252,59.000,88.000,4835.000,92.000
2022-10-04,825.206,13.000,1884.804,,4.638,97.000,15.000,64.409,62.000,133.000,8617.000,94.000
2022-10-05,841.748,14.000,1897.264,15.160,2.689,68.000,6.000,66.575,63.000,113.000,4966.000,102.000
2022-10-06,665.686,12.000,1898.249,2.692,3.748,64.000,9.000,63.572,64.000,99.000,6625.893,83.000
2022-10-07,806.658,16.000,1925.364,,4.140,81.000,8.000,65.965,63.000,116.000,7610.072,102.000
2022-10-08,840.150,14.000,1932.817,,7.404,88.000,24.000,70.759,65.000,208.000,14220.928,99.000
2022-10-09,618.434,13.000,1873.823,,3.776,48.000,14.000,60.920,58.000,145.000,7166.000,98.000
2022-10-10,896.902,14.000,1916.956,,4.311,116.000,7.000,62.890,59.000,132.000,8141.000,94.000
2022-10-11,1140.121,14.000,1912.936,17.695,4.022,110.000,19.000,65.862,62.000,165.000,7383.000,102.000
2022-10-12,848.182,13.000,1893.142,,4.539,104.000,17.000,63.939,56.000,125.000,8597.973,94.000
2022-10-13,1057.528,14.000,1908.781,8.436,7.042,129.000,15.000,68.014,59.000,175.000,12790.314,107.000
2022-10-14,590.267,15.000,1892.597,,4.401,54.000,16.000,62.048,58.000,133.000,8236.000,92.000
2022-10-15,1506.239,15.000,1930.942,,6.035,138.000,2.000,70.229,59.000,221.000,11806.000,104.000
2022-10-16,780.823,16.000,1898.076,,2.870,90.000,5.000,64.473,57.000,128.000,5465.050,89.000
2022-10-17,426.883,13.000,1845.935,,2.654,23.000,8.000,59.687,57.000,77.000,4912.000,100.000
2022-10-18,844.662,14.000,1888.328,4.336,7.206,124.000,4.000,64.719,57.000,182.000,13673.000,105.000
2022-10-19,1146.913,12.000,1881.739,,5.802,122.000,16.000,67.180,59.000,160.000,10941.406,91.000
2022-10-20,608.762,14.000,1895.933,2.247,3.884,50.000,15.000,60.164,56.000,116.000,7535.000,88.000
2022-10-21,1035.517,14.000,1897.077,,3.509,100.000,7.000,66.480,59.000,129.000,6726.454,99.000
2022-10-22,1037.466,16.000,1946.665,,9.196,129.000,7.000,65.775,66.000,195.000,17026.000,101.000
2022-10-23,651.241,13.000,1925.324,,5.439,50.000,14.000,66.516,61.000,181.000,10570.395,87.000
2022-10-24,1131.394,14.000,1924.134,,5.873,138.000,20.000,65.742,61.000,188.000,11681.799,90.000
2022-10-25,277.372,11.000,1870.586,,0.843,1.000,,55.875,59.000,28.000,1595.378,
2022-10-26,589.121,12.000,1883.726,2.619,3.005,47.000,14.000,58.568,57.000,97.000,5794.311,80.000
2022-10-27,1187.089,13.000,1896.503,,4.871,125.000,12.000,66.137,59.000,186.000,9450.000,93.000
2022-10-28,1104.999,15.000,1921.582,,5.341,99.000,7.000,64.939,59.000,241.000,10346.000,106.000
2022-10-29,1360.962,15.000,1960.261,,5.839,115.000,5.000,69.224,56.000,242.000,11216.119,109.000
2022-10-30,533.932,13.000,1880.788,,3.910,43.000,,60.741,54.000,107.000,7750.126,93.000
2022-10-31,573.816,13.000,1879.926,,3.493,51.000,7.000,56.079,56.000,119.000,6796.000,97.000
