Date,Active energy burned(Cal),Apple Watch stand hours(hr),Basal energy burned(Cal),Distance cycling(mi),Distance walking / running(mi),Exercise time(min),Flights climbed(count),Heart rate(count/min),Resting heart rate(count/min),Stand time(min),Step count(count),Walking heart rate average(count/min)
2017-03-19,,,,,0.611,,5.000,,,,1546.000,
2017-03-20,,,,,1.261,,4.000,,,,3160.000,
2017-03-21,,,,,2.544,,11.000,,,,6630.000,
2017-03-22,,,,,1.294,,8.000,,,,3174.000,
2017-03-23,,,,,6.546,,15.000,,,,16289.001,
2017-03-24,,,,,2.400,,1.000,,,,6505.418,
2017-03-25,,,,,2.747,,4.000,,,,6881.580,
2017-03-26,,,,,3.584,,3.000,,,,8400.000,
2017-03-27,,,,,5.202,,30.000,,,,13026.938,
2017-03-28,,,,,3.434,,13.000,,,,8568.062,
2017-03-29,,,,,3.344,,19.000,,,,8373.163,
2017-03-30,,,,,3.781,,28.000,,,,9674.837,
2017-03-31,,,,,3.636,,20.000,,,,9166.000,
2017-04-01,,,,,3.615,,5.000,,,,9470.001,
2017-04-02,,,,,2.324,,2.000,,,,5503.784,
2017-04-03,,,,,4.903,,27.000,,,,12458.215,
2017-04-04,,,,,3.538,,6.000,,,,8909.829,
2017-04-05,,,,,3.841,,11.000,,,,9568.171,
2017-04-06,,,,,4.141,,17.000,,,,10438.001,
2017-04-07,,,,,5.483,,15.000,,,,13345.809,
2017-04-08,,,,,5.676,,22.000,,,,15018.395,
2017-04-09,,,,,2.848,,8.000,,,,6970.579,
2017-04-10,,,,,4.380,,18.000,,,,11050.217,
2017-04-11,,,,,3.549,,21.000,,,,8915.000,
2017-04-12,,,,,4.601,,20.000,,,,11164.000,
2017-04-13,,,,,5.713,,27.000,,,,14344.188,
2017-04-14,,,,,5.068,,12.000,,,,12186.812,
2017-04-15,,,,,1.982,,12.000,,,,4759.487,
2017-04-16,,,,,2.906,,18.000,,,,7105.513,
2017-04-17,,,,,4.210,,9.000,,,,10920.000,
2017-04-18,,,,,4.633,,31.000,,,,11839.000,
2017-04-19,,,,,5.054,,21.000,,,,12982.000,
2017-04-20,,,,,3.431,,19.000,,,,8837.000,
2017-04-21,,,,,5.127,,15.000,,,,12964.358,
2017-04-22,,,,,9.501,,15.000,,,,22057.188,
2017-04-23,,,,,6.197,,12.000,,,,14165.454,
2017-04-24,,,,,6.503,,20.000,,,,14909.398,
2017-04-25,,,,,4.729,,17.000,,,,11929.801,
2017-04-26,,,,,3.779,,15.000,,,,8716.900,
2017-04-27,,,,,3.483,,14.000,,,,8779.141,
2017-04-28,,,,,5.124,,22.000,,,,13043.760,
2017-04-29,,,,,4.795,,8.000,,,,12224.370,
2017-04-30,,,,,4.316,,7.000,,,,10777.104,
2017-05-01,,,,,3.773,,16.000,,,,9493.314,
2017-05-02,,,,,5.788,,21.000,,,,14565.212,
2017-05-03,,,,,3.596,,15.000,,,,8871.000,
2017-05-04,,,,,3.475,,19.000,,,,8253.000,
2017-05-05,,,,,4.304,,20.000,,,,10885.000,
2017-05-06,,,,,2.856,,2.000,,,,7105.000,
2017-05-07,,,,,5.843,,20.000,,,,14654.338,
2017-05-08,,,,,2.842,,9.000,,,,7064.662,
2017-05-09,,,,,0.899,,3.000,,,,2170.000,
2017-05-10,,,,,0.693,,4.000,,,,1642.000,
2017-05-11,,,,,1.200,,10.000,,,,2791.000,
2017-05-12,,,,,1.709,,3.000,,,,4058.000,
2017-05-13,,,,,1.047,,8.000,,,,2479.000,
2017-05-14,,,,,2.040,,8.000,,,,5066.000,
2017-05-15,,,,,2.709,,3.000,,,,6769.000,
2017-05-16,,,,,2.921,,8.000,,,,6987.000,
2017-05-17,,,,,2.593,,11.000,,,,6197.000,
2017-05-18,,,,,1.766,,4.000,,,,4479.709,
2017-05-19,,,,,1.484,,9.000,,,,3614.291,
2017-05-20,,,,,1.876,,9.000,,,,4681.000,
2017-05-21,,,,,1.277,,7.000,,,,3196.000,
2017-05-22,,,,,1.456,,7.000,,,,3728.000,
2017-05-23,,,,,1.199,,7.000,,,,2941.000,
2017-05-24,,,,,1.719,,3.000,,,,4301.029,
2017-05-25,,,,,1.495,,1.000,,,,3607.971,
2017-05-26,,,,,1.721,,7.000,,,,4413.554,
2017-05-27,,,,,0.891,,4.000,,,,1974.446,
2017-05-28,,,,,1.897,,6.000,,,,4746.000,
2017-05-29,,,,,1.926,,14.000,,,,4354.000,
2017-05-30,,,,,2.122,,3.000,,,,5411.000,
2017-05-31,,,,,2.156,,10.000,,,,5421.000,
2017-06-01,,,,,1.451,,1.000,,,,3695.000,
2017-06-02,,,,,2.781,,1.000,,,,7010.588,
2017-06-03,,,,,2.024,,6.000,,,,5033.412,
2017-06-04,,,,,1.574,,11.000,,,,3770.000,
2017-06-05,,,,,3.389,,9.000,,,,9042.000,
2017-06-06,,,,,2.209,,9.000,,,,5921.000,
2017-06-07,,,,,1.993,,2.000,,,,5284.000,
2017-06-08,,,,,2.231,,3.000,,,,5917.000,
2017-06-09,,,,,1.810,,,,,,4681.316,
2017-06-10,,,,,1.076,,11.000,,,,2544.842,
2017-06-11,,,,,1.300,,4.000,,,,3101.842,
2017-06-12,,,,,1.538,,2.000,,,,3919.000,
2017-06-13,,,,,2.095,,9.000,,,,5363.000,
2017-06-14,,,,,2.092,,2.000,,,,5167.699,
2017-06-15,,,,,1.920,,9.000,,,,4865.301,
2017-06-16,,,,,1.764,,7.000,,,,4221.408,
2017-06-17,,,,,1.169,,5.000,,,,2934.592,
2017-06-18,,,,,1.438,,2.000,,,,3610.000,
2017-06-19,,,,,1.352,,7.000,,,,3405.000,
2017-06-20,,,,,3.182,,15.000,,,,8125.000,
2017-06-21,,,,,1.275,,5.000,,,,3224.000,
2017-06-22,,,,,1.904,,5.000,,,,5008.000,
2017-06-23,,,,,2.466,,6.000,,,,6340.346,
2017-06-24,,,,,4.350,,14.000,,,,10412.626,
2017-06-25,,,,,1.057,,11.000,,,,2525.028,
2017-06-26,,,,,1.553,,5.000,,,,3975.000,
2017-06-27,,,,,1.252,,8.000,,,,3023.000,
2017-06-28,,,,,1.960,,4.000,,,,4901.000,
2017-06-29,,,,,1.161,,4.000,,,,2848.000,
2017-06-30,,,,,3.052,,3.000,,,,7966.455,
2017-07-01,,,,,1.353,,5.000,,,,3120.545,
2017-07-02,,,,,1.995,,13.000,,,,4896.000,
2017-07-03,,,,,1.547,,8.000,,,,3963.966,
2017-07-04,,,,,2.384,,13.000,,,,5955.034,
2017-07-05,,,,,1.451,,7.000,,,,3763.000,
2017-07-06,,,,,1.529,,7.000,,,,3703.000,
2017-07-07,,,,,2.578,,,,,,6081.622,
2017-07-08,,,,,1.479,,9.000,,,,3637.378,
2017-07-09,,,,,2.360,,7.000,,,,6072.488,
2017-07-10,,,,,1.669,,4.000,,,,4317.512,
2017-07-11,,,,,1.276,,3.000,,,,3234.000,
2017-07-12,,,,,1.352,,4.000,,,,3357.000,
2017-07-13,,,,,1.371,,4.000,,,,3415.000,
2017-07-14,,,,,2.239,,9.000,,,,5731.000,
2017-07-15,,,,,3.894,,12.000,,,,9585.984,
2017-07-16,,,,,2.662,,13.000,,,,6648.016,
2017-07-17,,,,,1.602,,6.000,,,,4057.470,
