Date,"Weight (lb)","Fat mass (lb)","Bone mass (lb)","Muscle mass (lb)","Hydration (lb)",Comments
"2022-11-01 07:47:11",160.1,17.5,7.1,135.4,97.6,
"2022-10-31 08:18:37",160,17.9,7.1,135,97,
"2022-10-30 09:15:58",162.1,17.3,7.3,137.5,99.9,
"2022-10-29 08:34:09",160.8,17,7.2,136.6,99.1,
"2022-10-28 08:07:41",162.7,18,7.2,137.5,99.5,
"2022-10-27 08:28:34",160.1,17.2,7.1,135.8,98.1,
"2022-10-26 08:18:20",160.3,17.7,7.1,135.4,97.4,
"2022-10-25 08:35:22",160.3,,,,,
"2022-10-24 08:06:00",158.5,16.7,7.1,134.7,97.2,
"2022-10-22 08:40:31",159.3,17.2,7.1,135,97.3,
"2022-10-21 07:16:39",162.3,17.5,7.3,137.6,99.9,
"2022-10-20 08:08:17",160.9,17.4,7.2,136.3,98.6,
"2022-10-19 08:03:25",159.2,16.7,7.1,135.4,97.9,
"2022-10-18 07:51:29",160,17.9,7.1,135,97,
"2022-10-17 08:22:11",161,17.2,7.2,136.6,99.1,
"2022-10-16 07:55:39",161.4,17.3,7.2,136.8,99.2,
"2022-10-15 08:51:46",161.2,17.8,7.2,136.2,98.2,
"2022-10-14 08:06:29",161.2,17.4,7.2,136.6,98.9,
"2022-10-13 07:11:39",160.7,17,7.2,136.5,99,
"2022-10-12 07:59:00",159.7,17.3,7.1,135.2,97.4,
"2022-10-11 08:15:50",162.2,17.7,7.2,137.2,99.4,
"2022-10-10 08:41:45",162.2,17.5,7.2,137.4,99.6,
"2022-10-09 08:48:18",160,17.5,7.1,135.4,97.6,
"2022-10-07 07:33:19",160.6,17.2,7.2,136.2,98.6,
"2022-10-06 08:01:14",159.2,17.1,7.1,134.9,97.3,
"2022-10-05 06:49:33",159.6,17.2,7.1,135.3,97.6,
"2022-10-04 08:02:57",160,17.5,7.1,135.3,97.5,
"2022-10-03 07:04:38",160.6,17.9,7.1,135.6,97.6,
"2022-10-01 08:40:27",160,17.3,7.1,135.5,97.8,
"2022-09-30 08:07:15",160.5,17.1,7.2,136.2,98.7,
"2022-09-29 07:48:56",160.6,17.1,7.2,136.3,98.7,
"2022-09-28 07:53:14",160.2,17,7.2,136.1,98.5,
