Date,Active energy burned(Cal),Activity,Distance(mi),Duration(s),Elevation: Ascended(ft),Elevation: Maximum(ft),Elevation: Minimum(ft),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg),Speed: Average(mi/hr),Speed: Maximum(mi/hr),Weather: Humidity(%),Weather: Temperature(degF)
2022-09-24 08:33:01 - 2022-09-24 08:55:37,137.139,Walking,1.272,1356.554,73.655,607.131,590.709,0.933,0.067,0.000,0.000,0.000,95.456,131.000,6.345,,,73.000,57.200
2022-09-25 13:09:31 - 2022-09-25 13:55:22,247.747,Functional Strength Training,,2700.264,,,,0.785,0.162,0.051,0.002,0.000,106.028,156.000,5.882,,,66.000,66.200
2022-09-25 14:53:18 - 2022-09-25 15:43:29,106.357,Walking,1.157,1347.802,77.034,645.272,592.406,0.965,0.035,0.000,0.000,0.000,87.530,135.000,3.502,,,63.000,66.200
2022-09-26 08:31:48 - 2022-09-26 08:58:01,109.521,Walking,1.237,1359.551,,618.643,579.920,1.000,0.000,0.000,0.000,0.000,86.732,105.000,4.835,,,72.000,53.600
2022-09-26 08:58:49 - 2022-09-26 09:08:58,82.316,Functional Strength Training,,609.571,,,,0.088,0.309,0.427,0.176,0.000,137.691,168.000,7.997,,,,
2022-09-26 09:09:47 - 2022-09-26 09:29:53,114.922,Walking,1.116,1205.660,74.475,622.856,583.296,0.897,0.033,0.062,0.008,0.000,109.388,156.000,6.095,,,,
2022-09-27 08:38:35 - 2022-09-27 09:03:46,123.439,Walking,1.315,1510.652,77.986,621.498,585.361,0.944,0.056,0.000,0.000,0.000,84.312,135.000,5.424,,,,
2022-09-27 18:51:08 - 2022-09-27 19:07:58,70.878,Cycling,2.786,1009.963,,608.671,599.144,0.925,0.075,0.000,0.000,0.000,107.134,125.000,4.996,,,,
2022-09-28 08:30:31 - 2022-09-28 08:47:42,85.296,Walking,0.801,900.020,73.556,675.198,612.285,0.903,0.029,0.068,0.000,0.000,96.532,150.000,5.538,,,,
2022-09-28 17:20:29 - 2022-09-28 17:31:23,30.579,Cycling,1.303,654.118,,605.696,598.766,0.429,0.504,0.029,0.038,0.000,114.848,169.000,4.295,,,61.000,55.400
2022-09-30 08:39:41 - 2022-09-30 09:03:14,106.766,Walking,1.062,1285.586,82.480,632.605,599.763,0.923,0.021,0.056,0.000,0.000,96.462,149.000,5.319,,,80.000,53.600
2022-09-30 16:30:44 - 2022-09-30 16:35:44,31.000,Functional Strength Training (Indoor),,300.000,,,,1.000,0.000,0.000,0.000,0.000,60.500,66.000,,,,,
2022-09-30 16:38:00 - 2022-09-30 17:23:06,294.107,Traditional Strength Training,,2705.364,,,,0.483,0.369,0.139,0.009,0.000,118.643,162.000,5.308,,,60.000,60.800
2022-09-30 17:13:30 - 2022-09-30 17:23:30,62.000,Functional Strength Training (Indoor),,600.000,,,,0.815,0.185,0.000,0.000,0.000,109.347,131.000,,,,,
2022-10-01 10:52:00 - 2022-10-01 12:16:36,195.525,Walking,2.413,3138.385,,604.499,585.771,1.000,0.000,0.000,0.000,0.000,80.682,112.000,4.794,,,60.000,62.600
2022-10-03 08:28:12 - 2022-10-03 08:52:37,122.704,Walking,1.318,1464.997,89.797,635.545,598.689,0.932,0.017,0.051,0.000,0.000,95.163,146.000,5.534,,,,
2022-10-03 16:53:40 - 2022-10-03 18:20:28,137.882,Traditional Strength Training,,1448.899,,,,0.861,0.112,0.027,0.000,0.000,85.694,143.000,3.809,,,56.000,60.800
2022-10-04 08:28:47 - 2022-10-04 08:51:14,140.002,Walking,1.324,1347.807,75.164,615.345,581.728,1.000,0.000,0.000,0.000,0.000,97.586,112.000,6.443,,,,
2022-10-04 10:45:03 - 2022-10-04 10:58:05,85.701,Functional Strength Training,,724.895,,,,0.293,0.379,0.321,0.007,0.000,124.250,158.000,7.163,,,53.000,62.600
2022-10-04 16:42:10 - 2022-10-04 17:17:41,161.501,Walking,1.496,2131.051,100.525,613.908,560.786,0.933,0.024,0.043,0.000,0.000,95.400,149.000,5.020,,,35.000,69.800
2022-10-04 17:32:40 - 2022-10-04 19:00:47,109.975,Traditional Strength Training,,1455.005,,,,0.968,0.030,0.002,0.000,0.000,82.605,148.000,3.134,,,44.000,68.000
2022-10-05 08:32:48 - 2022-10-05 08:54:59,118.745,Walking,1.280,1295.746,75.164,629.593,591.469,0.943,0.008,0.011,0.038,0.000,103.308,167.000,5.771,,,,
2022-10-05 09:22:45 - 2022-10-05 10:07:49,439.750,Cycling (Indoor),,2704.508,,,,0.013,0.036,0.951,0.000,0.000,143.308,155.000,9.433,,,63.000,57.200
2022-10-05 09:22:48 - 2022-10-05 10:07:48,682.000,Cycling (Indoor),15.160,2700.000,,,,0.011,0.036,0.953,0.000,0.000,143.419,155.000,,20.200,21.800,,
2022-10-05 17:52:35 - 2022-10-05 17:54:14,4.000,Preparation and Recovery (Indoor),,99.000,,,,,,,,,,,,,,,
2022-10-06 08:45:32 - 2022-10-06 08:56:42,54.421,Walking,0.612,670.140,,654.442,593.306,1.000,0.000,0.000,0.000,0.000,82.326,92.000,5.315,,,69.000,62.600
2022-10-06 08:56:57 - 2022-10-06 09:00:21,49.409,Running,0.522,203.877,,600.927,589.981,0.129,0.161,0.710,0.000,0.000,138.548,153.000,14.386,,,69.000,62.600
