Date,Active energy burned(Cal),Activity,Distance(mi),Duration(s),Elevation: Ascended(ft),Elevation: Maximum(ft),Elevation: Minimum(ft),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg),Speed: Average(mi/hr),Speed: Maximum(mi/hr),Weather: Humidity(%),Weather: Temperature(degF)
2021-01-03 12:26:13 - 2021-01-03 12:56:48,149.920,Yoga,,1835.435,,,,1.000,0.000,0.000,0.000,0.000,94.793,104.222,5.149,,,,
2021-01-03 12:26:41 - 2021-01-03 12:56:41,126.000,Yoga (Indoor),,1800.000,,,,1.000,0.000,0.000,0.000,0.000,104.222,104.222,,,,,
2021-01-03 13:15:01 - 2021-01-03 13:30:01,91.468,Cycling (Indoor),,900.262,,,,0.500,0.000,0.500,0.000,0.000,121.162,135.302,6.592,,,88.000,33.800
2021-01-03 13:15:02 - 2021-01-03 13:30:02,161.000,Cycling (Indoor),4.330,900.000,,,,0.500,0.000,0.500,0.000,0.000,121.162,135.302,,17.400,23.100,,
2021-01-03 16:38:46 - 2021-01-03 16:53:53,158.077,HIIT,,907.874,,,,0.000,0.000,0.500,0.000,0.500,162.596,177.803,10.385,,,87.000,30.200
2021-01-03 16:38:47 - 2021-01-03 16:53:47,94.000,Functional Strength Training (Indoor),,900.000,,,,0.000,0.000,1.000,0.000,0.000,147.390,147.390,,,,,
2021-01-04 08:17:20 - 2021-01-04 08:37:47,82.834,Yoga,,1227.047,,,,1.000,0.000,0.000,0.000,0.000,85.545,89.775,4.299,,,92.000,26.600
2021-01-04 08:17:47 - 2021-01-04 08:37:47,90.000,Yoga (Indoor),,1200.000,,,,1.000,0.000,0.000,0.000,0.000,81.315,81.315,,,,,
2021-01-04 14:16:47 - 2021-01-04 14:46:47,345.000,Cycling (Indoor),6.380,1800.000,,,,0.055,0.293,0.459,0.193,0.000,141.790,174.000,,12.800,23.500,,
2021-01-04 14:16:47 - 2021-01-04 14:46:53,248.919,Cycling (Indoor),,1806.135,,,,0.055,0.292,0.457,0.196,0.000,141.829,174.000,8.463,,,,
2021-01-04 18:02:06 - 2021-01-04 18:39:44,130.782,Traditional Strength Training,,1232.362,,,,0.667,0.333,0.000,0.000,0.000,95.895,131.992,3.899,,,94.000,28.400
2021-01-04 18:02:34 - 2021-01-04 18:39:52,125.000,Functional Strength Training (Indoor),,2238.000,,,,0.250,0.500,0.250,0.000,0.000,122.712,144.000,,,,,
2021-01-05 11:56:44 - 2021-01-05 12:27:53,157.595,Walking,1.853,1868.589,,600.994,565.870,1.000,0.000,0.000,0.000,0.000,97.953,100.083,5.667,,,87.000,33.800
2021-01-05 17:17:50 - 2021-01-05 17:37:53,112.078,Cycling (Indoor),,1203.120,,,,0.477,0.453,0.070,0.000,0.000,117.460,147.000,6.137,,,86.000,33.800
2021-01-05 17:17:51 - 2021-01-05 17:37:51,155.000,Cycling (Indoor),5.410,1200.000,,,,0.480,0.450,0.070,0.000,0.000,117.427,147.000,,16.200,22.800,,
2021-01-06 08:05:47 - 2021-01-06 08:22:34,85.637,Walking,0.985,1003.549,,600.536,583.122,1.000,0.000,0.000,0.000,0.000,97.292,99.347,5.795,,,88.000,30.200
2021-01-06 13:13:20 - 2021-01-06 15:36:35,233.354,Traditional Strength Training,,1516.211,,,,0.715,0.214,0.071,0.000,0.000,96.643,138.243,9.397,,,75.000,35.600
2021-01-06 13:13:22 - 2021-01-06 15:36:52,183.000,Functional Strength Training (Indoor),,8610.000,,,,0.588,0.176,0.118,0.118,0.000,107.353,166.000,,,,,
2021-01-07 14:06:07 - 2021-01-07 14:32:42,192.050,Traditional Strength Training,,1594.987,,,,0.000,1.000,0.000,0.000,0.000,127.690,132.364,6.745,,,64.000,35.600
2021-01-07 14:44:22 - 2021-01-07 15:14:27,311.230,HIIT,,1804.815,,,,0.000,0.000,0.667,0.333,0.000,151.763,159.614,10.250,,,64.000,35.600
2021-01-07 14:44:46 - 2021-01-07 15:14:46,188.000,Functional Strength Training (Indoor),,1800.000,,,,0.000,0.000,0.167,0.833,0.000,165.162,175.000,,,,,
2021-01-08 07:59:49 - 2021-01-08 08:16:56,83.337,Walking,1.005,1026.957,7.874,597.312,570.676,1.000,0.000,0.000,0.000,0.000,95.960,97.459,5.581,,,72.000,33.800
2021-01-08 10:06:55 - 2021-01-08 10:17:06,37.729,Yoga,,610.554,,,,1.000,0.000,0.000,0.000,0.000,85.675,85.675,3.317,,,73.000,33.800
2021-01-08 10:07:23 - 2021-01-08 10:17:23,43.000,Yoga (Indoor),,600.000,,,,1.000,0.000,0.000,0.000,0.000,74.333,77.000,,,,,
2021-01-08 10:20:11 - 2021-01-08 10:25:46,38.261,Functional Strength Training,,334.591,,,,0.000,0.000,1.000,0.000,0.000,137.813,137.813,7.303,,,72.000,33.800
2021-01-08 15:04:40 - 2021-01-08 15:26:23,187.000,Cycling (Indoor),6.160,1303.000,,,,0.280,0.720,0.000,0.000,0.000,120.222,135.000,,17.000,20.900,,
2021-01-08 15:04:42 - 2021-01-08 15:26:27,132.263,Cycling (Indoor),,1305.251,,,,0.278,0.722,0.000,0.000,0.000,120.283,135.000,6.625,,,82.000,32.000
2021-01-09 09:07:51 - 2021-01-09 09:39:17,160.938,Yoga,,1885.706,,,,1.000,0.000,0.000,0.000,0.000,98.437,112.895,5.638,,,73.000,30.200
2021-01-09 09:08:18 - 2021-01-09 09:38:18,140.000,Yoga (Indoor),,1800.000,,,,1.000,0.000,0.000,0.000,0.000,112.895,112.895,,,,,
2021-01-09 12:23:35 - 2021-01-09 12:46:19,62.222,Walking,0.671,1363.306,20.374,624.607,580.506,1.000,0.000,0.000,0.000,0.000,81.337,87.657,3.472,,,64.000,35.600
2021-01-09 17:21:02 - 2021-01-09 17:51:02,360.000,Cycling (Indoor),8.230,1800.000,,,,0.102,0.253,0.281,0.328,0.036,145.093,183.000,,16.500,27.300,,
2021-01-09 17:21:04 - 2021-01-09 17:51:04,290.046,Cycling (Indoor),,1800.108,,,,0.102,0.253,0.281,0.328,0.036,145.093,183.000,9.671,,,66.000,32.000
2021-01-09 17:58:14 - 2021-01-09 18:08:16,47.249,Functional Strength Training,,602.189,,,,1.000,0.000,0.000,0.000,0.000,108.009,108.009,5.395,,,66.000,33.800
2021-01-09 17:58:38 - 2021-01-09 18:08:38,63.000,Functional Strength Training (Indoor),,600.000,,,,1.000,0.000,0.000,0.000,0.000,106.333,109.000,,,,,
2021-01-10 12:26:31 - 2021-01-10 12:57:26,142.253,Yoga,,1854.617,,,,1.000,0.000,0.000,0.000,0.000,96.589,102.752,4.078,,,71.000,30.200
2021-01-10 12:27:01 - 2021-01-10 12:57:01,131.000,Yoga (Indoor),,1800.000,,,,1.000,0.000,0.000,0.000,0.000,102.752,102.752,,,,,
2021-01-11 16:08:31 - 2021-01-11 16:28:31,115.863,Cycling (Indoor),,1199.868,,,,0.500,0.500,0.000,0.000,0.000,108.311,116.551,6.304,,,81.000,26.600
2021-01-11 16:08:33 - 2021-01-11 16:28:33,194.000,Cycling (Indoor),5.480,1200.000,,,,0.500,0.500,0.000,0.000,0.000,108.311,116.551,,16.500,24.400,,
2021-01-11 16:31:13 - 2021-01-11 16:41:13,69.000,Functional Strength Training (Indoor),,600.000,,,,0.582,0.418,0.000,0.000,0.000,112.614,130.000,,,,,
2021-01-11 16:31:14 - 2021-01-11 16:41:18,42.644,Traditional Strength Training,,604.094,,,,0.579,0.421,0.000,0.000,0.000,112.801,130.000,3.816,,,79.000,26.600
2021-01-11 17:18:55 - 2021-01-11 17:53:56,266.662,Traditional Strength Training,,2100.388,,,,0.000,1.000,0.000,0.000,0.000,127.244,134.706,7.263,,,83.000,26.600
2021-01-12 08:53:57 - 2021-01-12 09:09:42,61.350,Walking,0.690,944.630,29.429,618.888,590.257,1.000,0.000,0.000,0.000,0.000,81.169,83.101,4.649,,,,
2021-01-12 11:36:45 - 2021-01-12 11:58:07,75.910,Yoga,,1282.218,,,,1.000,0.000,0.000,0.000,0.000,80.626,81.054,3.429,,,70.000,35.600
2021-01-12 11:37:13 - 2021-01-12 11:57:13,89.000,Yoga (Indoor),,1200.000,,,,,,,,,,,,,,,
2021-01-12 17:06:39 - 2021-01-12 17:36:39,287.253,Cycling (Indoor),,1799.978,,,,0.000,0.333,0.667,0.000,0.000,143.686,154.606,9.573,,,74.000,35.600
2021-01-12 17:06:42 - 2021-01-12 17:36:42,406.000,Cycling (Indoor),9.420,1800.000,,,,0.000,0.000,1.000,0.000,0.000,149.315,154.606,,18.900,25.900,,
2021-01-12 18:09:03 - 2021-01-12 18:29:05,133.618,Traditional Strength Training,,1202.587,,,,0.000,0.500,0.500,0.000,0.000,133.867,147.411,6.248,,,77.000,33.800
2021-01-12 18:09:31 - 2021-01-12 18:29:31,125.000,Functional Strength Training (Indoor),,1200.000,,,,0.000,0.800,0.200,0.000,0.000,134.882,147.411,,,,,
2021-01-13 13:03:06 - 2021-01-13 13:18:55,73.424,Walking,1.009,948.983,8.924,596.319,593.273,1.000,0.000,0.000,0.000,0.000,91.564,93.063,5.395,,,64.000,41.000
