Date,Active energy burned(Cal),Activity,Distance(mi),Duration(s),Elevation: Ascended(ft),Elevation: Maximum(ft),Elevation: Minimum(ft),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg),Speed: Average(mi/hr),Speed: Maximum(mi/hr),Swimming stroke count(count),Weather: Humidity(%),Weather: Temperature(degF)
2022-01-01 10:17:06 - 2022-01-01 10:46:42,120.925,Walking,1.640,1775.936,9.449,609.756,590.432,1.000,0.000,0.000,0.000,0.000,93.997,96.062,4.756,,,,81.000,35.600
2022-01-01 16:08:06 - 2022-01-01 16:16:31,41.403,Functional Strength Training,,505.322,,,,1.000,0.000,0.000,0.000,0.000,96.334,96.334,5.473,,,,89.000,30.200
2022-01-01 17:59:55 - 2022-01-01 18:08:01,36.762,Functional Strength Training,,485.588,,,,1.000,0.000,0.000,0.000,0.000,98.702,98.702,5.160,,,,89.000,30.200
2022-01-01 18:17:40 - 2022-01-01 18:19:51,9.570,Functional Strength Training,,131.077,,,,0.588,0.412,0.000,0.000,0.000,109.471,123.000,5.293,,,,84.000,30.200
2022-01-02 11:02:17 - 2022-01-02 11:48:38,381.294,Cycling (Indoor),,2700.554,,,,0.000,0.200,0.800,0.000,0.000,134.643,139.894,8.453,,,,75.000,24.800
2022-01-02 11:02:18 - 2022-01-02 11:48:44,578.000,Cycling (Indoor),14.240,2786.000,,,,0.000,0.200,0.800,0.000,0.000,134.643,139.894,,18.400,21.100,,,
2022-01-03 08:48:29 - 2022-01-03 08:59:43,48.545,Walking,0.594,674.084,9.318,625.478,592.570,1.000,0.000,0.000,0.000,0.000,84.418,84.418,5.007,,,,69.000,12.200
2022-01-03 14:02:35 - 2022-01-03 14:35:02,124.909,Pilates,,1946.661,,,,1.000,0.000,0.000,0.000,0.000,89.552,97.806,4.562,,,,43.000,21.200
2022-01-03 14:03:04 - 2022-01-03 14:33:34,187.000,Functional Strength Training (Indoor),,1830.000,,,,1.000,0.000,0.000,0.000,0.000,95.088,97.806,,,,,,
2022-01-03 16:54:28 - 2022-01-03 16:58:56,20.493,Functional Strength Training,,267.716,,,,0.976,0.000,0.000,0.024,0.000,96.214,173.000,5.225,,,,52.000,21.200
2022-01-03 17:00:20 - 2022-01-03 17:25:39,140.151,Traditional Strength Training,,1518.697,,,,0.500,0.500,0.000,0.000,0.000,110.751,115.501,4.196,,,,54.000,21.200
2022-01-03 17:28:06 - 2022-01-03 17:44:23,95.281,Traditional Strength Training,,976.953,,,,1.000,0.000,0.000,0.000,0.000,113.283,113.283,4.855,,,,55.000,19.400
2022-01-04 08:16:44 - 2022-01-04 08:34:30,71.442,Walking,0.883,1066.541,13.812,601.904,593.072,1.000,0.000,0.000,0.000,0.000,86.574,88.669,4.717,,,,76.000,24.800
2022-01-04 15:51:36 - 2022-01-04 16:36:40,464.424,Cycling (Indoor),,2703.923,,,,0.000,0.200,0.200,0.600,0.000,154.750,165.821,10.066,,,,65.000,33.800
2022-01-04 15:51:39 - 2022-01-04 16:36:40,634.000,Cycling (Indoor),14.720,2701.000,,,,0.000,0.000,0.250,0.750,0.000,159.903,165.821,,19.600,21.900,,,
2022-01-04 16:37:23 - 2022-01-04 16:41:24,53.617,Cycling (Indoor),,240.233,,,,0.000,0.000,0.064,0.106,0.830,180.957,188.000,12.976,,,,65.000,33.800
2022-01-04 16:37:24 - 2022-01-04 16:41:26,90.000,Cycling (Indoor),1.370,242.000,,,,0.000,0.000,0.064,0.106,0.830,180.957,188.000,,20.500,32.000,,,
2022-01-04 18:05:13 - 2022-01-04 18:33:10,156.917,Functional Strength Training,,1677.366,,,,1.000,0.000,0.000,0.000,0.000,109.106,112.718,6.073,,,,70.000,32.000
2022-01-05 16:17:21 - 2022-01-05 16:35:44,72.605,Walking,1.018,1103.270,,598.547,591.055,1.000,0.000,0.000,0.000,0.000,98.849,98.849,4.686,,,,72.000,12.200
2022-01-05 17:23:35 - 2022-01-05 18:28:27,186.866,Functional Strength Training,,3892.603,,,,1.000,0.000,0.000,0.000,0.000,76.930,84.196,3.660,,,,74.000,12.200
2022-01-06 08:20:29 - 2022-01-06 08:38:59,88.507,Walking,1.099,1110.952,35.302,598.671,586.547,1.000,0.000,0.000,0.000,0.000,99.953,105.084,5.374,,,,74.000,8.600
2022-01-06 18:56:02 - 2022-01-06 19:09:00,53.894,Walking,0.539,778.971,17.585,613.572,593.498,1.000,0.000,0.000,0.000,0.000,102.097,102.097,4.693,,,,,
2022-01-10 16:26:54 - 2022-01-10 16:35:06,47.954,Functional Strength Training,,492.258,,,,1.000,0.000,0.000,0.000,0.000,110.545,110.545,6.248,,,,47.000,80.600
