Date,Weight (lb)
2019-07-01,151.0
2019-07-02,151.4
2019-07-03,153.0
2019-07-04,151.1
2019-07-05,155.1
2019-07-06,153.2
2019-07-07,154.3
2019-07-08,151.2
2019-07-09,152.0
2019-07-10,151.9
2019-07-11,152.6
2019-07-12,150.3
2019-07-13,152.3
2019-07-14,152.4
2019-07-15,153.4
2019-07-16,152.8
2019-07-17,151.9
2019-07-18,152.0
2019-07-19,149.8
2019-07-20,151.7
2019-07-21,152.6
2019-07-22,152.7
2019-07-23,151.0
2019-07-24,149.8
2019-07-25,153.4
2019-07-26,151.8
2019-07-29,152.8
2019-07-30,151.0
2019-07-31,151.2
