Date,Weight (lb)
2019-01-17,153.2
2019-01-18,154.1
2019-01-19,154.8
2019-01-20,154.1
2019-01-21,155.4
2019-01-22,155.1
2019-01-23,154.5
2019-01-24,155.7
2019-01-25,156.1
2019-01-26,157.8
2019-01-27,159.1
2019-01-28,158.6
2019-01-29,158.1
2019-01-30,155.9
2019-01-31,154.0
2019-02-01,155.5
2019-02-02,153.9
2019-02-03,158.5
2019-02-04,159.1
2019-02-05,154.4
2019-02-06,154.7
2019-02-07,154.8
2019-02-08,153.2
2019-02-09,158.0
2019-02-10,156.2
2019-02-11,156.7
2019-02-12,153.3
2019-02-13,153.5
2019-02-14,155.2
2019-02-17,157.3
2019-02-18,154.4
2019-02-19,153.4
2019-02-20,153.4
2019-02-21,151.7
2019-02-22,151.9
2019-02-23,154.8
2019-02-24,158.4
2019-02-25,159.9
2019-02-26,153.1
2019-02-27,152.5
2019-02-28,153.7
2019-03-01,154.3
2019-03-02,156.1
2019-03-03,156.9
2019-03-04,155.2
2019-03-05,154.4
2019-03-07,155.8
2019-03-08,156.7
2019-03-09,159.3
2019-03-10,162.2
2019-03-11,163.3
2019-03-12,158.6
2019-03-13,157.7
2019-03-14,155.3
2019-03-26,159.0
2019-03-27,160.6
2019-03-28,158.2
2019-03-29,155.1
2019-03-30,155.9
