Date,Weight (lb)
2020-01-04,157.4
2020-01-05,157.8
2020-01-06,159.1
2020-01-13,159.8
2020-01-14,156.8
2020-01-16,159.0
2020-01-17,157.0
2020-01-18,157.5
2020-01-19,157.7
2020-01-23,159.0
2020-01-24,156.9
2020-01-25,158.9
2020-01-26,159.7
2020-01-27,157.7
2020-01-28,155.2
2020-01-29,156.8
2020-01-30,155.3
2020-02-01,157.4
2020-02-04,161.9
2020-02-05,160.9
2020-02-11,157.3
2020-02-13,156.7
2020-02-14,155.7
2020-02-17,157.3
2020-02-18,154.7
2020-02-19,152.5
2020-02-21,153.7
2020-02-22,155.3
2020-02-24,154.2
2020-03-03,151.6
2020-03-05,153.1
2020-03-08,154.9
2020-03-09,155.6
2020-03-27,157.7
2020-03-30,159.4
2020-04-01,156.9
2020-04-02,158.2
2020-04-05,159.8
2020-04-07,155.2
2020-04-08,155.9
2020-04-09,154.1
2020-04-13,156.8
2020-04-16,155.1
2020-04-21,158.4
2020-04-23,154.5
2020-04-26,156.7
2020-04-27,155.3
2020-05-18,155.6
2020-05-19,154.5
2020-05-21,155.0
2020-05-22,155.6
2020-05-26,155.0
2020-05-28,155.5
2020-05-29,156.1
2020-05-30,154.9
2020-06-03,152.3
2020-06-05,152.8
2020-06-08,153.8
2020-06-10,149.8
2020-06-13,150.7
2020-06-17,153.9
2020-06-20,151.4
2020-06-22,152.2
2020-06-29,152.0
2020-06-30,152.1
2020-07-01,150.8
2020-07-02,149.0
2020-07-06,153.1
2020-07-07,152.3
2020-07-08,150.6
2020-07-09,149.8
2020-07-13,154.3
2020-07-15,150.4
2020-07-17,149.3
2020-07-18,149.3
2020-07-24,149.6
2020-07-25,150.9
2020-07-27,150.9
2020-07-28,152.0
2020-07-29,154.9
2020-08-03,158.4
2020-08-05,153.7
2020-08-06,154.3
2020-08-07,153.2
2020-08-10,150.4
2020-08-12,151.2
2020-08-14,150.9
2020-08-17,150.9
2020-08-18,148.7
2020-08-19,150.1
2020-08-20,150.3
2020-08-26,157.5
2020-08-27,156.1
2020-08-28,154.2
2020-09-04,152.1
2020-09-09,152.8
2020-09-10,151.3
2020-09-11,151.7
2020-09-18,150.2
2020-09-22,154.7
2020-10-14,151.7
2020-11-02,153.6
2020-11-03,152.0
2020-11-04,153.3
2020-11-05,153.3
2020-11-06,153.7
2020-11-09,160.2
2020-12-21,155.3
2020-12-22,155.7
2020-12-23,154.5
