Date,Weight (lb)
2022-11-01,160.1
2022-10-31,160.0
2022-10-30,162.1
2022-10-29,160.8
2022-10-28,162.7
2022-10-27,160.1
2022-10-26,160.3
2022-10-25,160.3
2022-10-24,158.5
2022-10-22,159.3
2022-10-21,162.3
2022-10-20,160.9
2022-10-19,159.2
2022-10-18,160.0
2022-10-17,161.0
2022-10-16,161.4
2022-10-15,161.2
2022-10-14,161.2
2022-10-13,160.7
2022-10-12,159.7
2022-10-11,162.2
2022-10-10,162.2
2022-10-09,160.0
2022-10-07,160.6
2022-10-06,159.2
2022-10-05,159.6
2022-10-04,160.0
2022-10-03,160.6
2022-10-01,160.0
2022-09-30,160.5
2022-09-29,160.6
2022-09-28,160.2
2022-09-27,160.5
2022-09-26,161.3
2022-09-24,162.4
2022-09-23,160.8
2022-09-22,161.4
2022-09-21,160.9
2022-09-20,158.5
2022-09-19,161.5
2022-09-18,159.7
2022-09-17,160.3
2022-09-16,159.7
2022-09-15,158.4
2022-09-14,160.5
2022-09-13,161.3
2022-09-12,160.5
2022-09-11,159.0
2022-09-10,158.8
2022-09-09,160.4
2022-09-08,159.1
2022-09-07,160.7
2022-09-06,160.3
2022-08-25,159.4
2022-08-24,159.6
2022-08-23,159.2
2022-08-22,160.7
2022-08-12,161.1
2022-08-11,159.7
2022-08-10,160.0
2022-08-09,159.7
2022-08-08,160.8
2022-08-04,158.2
2022-08-03,160.0
2022-08-02,161.2
2022-08-01,164.5
2022-07-31,162.1
2022-07-27,156.0
2022-06-16,157.4
2022-06-15,157.2
2022-06-13,158.8
2022-06-11,158.6
2022-06-10,160.4
2022-06-08,158.8
2022-06-07,157.1
2022-06-06,158.2
2022-06-04,156.2
2022-06-03,155.4
2022-06-02,154.9
2022-06-01,157.0
2022-05-31,157.6
2022-05-30,154.9
2022-05-27,157.3
2022-05-26,157.8
2022-05-25,156.7
2022-05-24,155.7
2022-05-23,156.7
2022-05-22,157.0
2022-05-21,154.1
2022-05-20,155.0
2022-05-19,155.9
2022-05-18,156.2
2022-05-17,155.8
2022-05-16,157.7
2022-05-13,157.9
2022-05-12,156.3
2022-05-11,155.1
2022-05-08,158.7
2022-05-06,155.8
2022-05-05,154.1
2022-05-04,154.6
2022-05-03,154.5
2022-05-02,156.7
2022-04-30,155.7
2022-04-29,154.3
2022-04-28,154.5
2022-04-27,157.8
2022-04-26,153.0
2022-04-25,156.2
2022-04-23,153.3
2022-04-22,152.7
2022-04-21,155.9
2022-04-19,156.9
2022-04-18,155.4
2022-04-17,155.4
2022-04-15,155.2
2022-04-13,156.2
2022-04-12,154.4
2022-04-11,154.9
2022-04-10,154.0
2022-04-06,152.8
2022-04-03,150.7
2022-04-02,151.5
2022-03-20,156.5
2022-03-12,151.9
2022-03-11,152.2
2022-02-26,154.3
2022-02-21,158.1
2022-02-17,157.9
2022-02-11,155.6
2022-02-10,159.4
2022-02-07,160.9
2022-02-04,156.6
2022-02-03,157.7
2022-02-02,156.7
2022-02-01,157.9
2022-01-31,159.9
2022-01-28,154.3
2022-01-27,155.3
2022-01-23,156.0
2022-01-19,156.4
2022-01-16,157.8
2022-01-05,155.9
2022-01-04,156.0
2022-01-02,155.7
2021-12-31,154.1
2021-12-30,156.4
2021-12-29,153.4
2021-12-27,154.7
2021-12-23,155.4
2021-12-18,157.4
2021-12-17,152.3
2021-12-16,157.0
2021-12-15,156.9
2021-12-14,154.5
2021-12-13,153.9
2021-12-03,158.4
2021-12-02,157.5
2021-12-01,157.9
2021-11-22,156.8
2021-11-20,155.3
2021-11-19,154.6
2021-11-18,157.1
2021-11-17,159.0
2021-11-16,156.2
2021-11-15,157.4
2021-11-13,157.3
2021-11-11,159.4
2021-11-10,157.9
2021-11-02,159.0
2021-10-31,155.9
2021-10-25,161.2
2021-10-22,157.8
2021-10-21,157.5
2021-09-27,159.3
2021-09-26,158.3
2021-09-25,156.8
2021-09-24,156.7
2021-09-22,155.9
2021-09-16,156.6
2021-09-15,156.2
2021-09-14,155.5
2021-09-13,159.4
2021-09-07,156.1
2021-09-01,157.9
2021-08-29,155.9
2021-08-27,159.1
2021-08-26,159.9
2021-08-25,158.6
2021-08-23,159.1
2021-08-20,155.1
2021-08-18,155.6
2021-08-17,154.7
2021-08-10,156.7
2021-08-09,156.2
2021-08-08,153.0
2021-08-07,155.3
2021-08-06,155.8
2021-08-05,156.2
2021-08-04,156.4
2021-07-28,155.5
2021-07-27,155.2
2021-07-26,156.0
2021-07-20,156.3
2021-07-15,156.4
2021-07-14,154.5
2021-07-13,154.9
2021-07-12,156.5
2021-07-11,155.3
2021-07-08,154.4
2021-06-30,155.8
2021-06-18,153.9
2021-06-07,158.3
2021-06-04,156.8
2021-06-03,156.3
2021-04-21,152.2
2021-04-20,149.5
2021-04-15,153.0
2021-04-14,152.2
2021-04-13,153.0
2021-04-12,153.2
2021-04-10,150.6
2021-04-09,153.9
2021-04-06,151.0
2021-04-01,148.6
2021-03-31,150.8
2021-03-30,149.1
2021-03-29,151.7
2021-03-28,148.5
2021-03-27,153.6
2021-03-26,150.1
2021-03-25,151.8
2021-03-24,153.3
2021-03-23,151.0
2021-03-19,153.5
2021-03-17,155.6
2021-03-16,154.0
2021-03-14,157.3
2021-03-13,154.6
2021-03-11,153.8
2021-03-10,155.1
2021-03-09,154.9
2021-03-05,154.4
2021-03-04,154.4
2021-02-24,155.9
2021-02-23,155.1
2021-02-22,158.9
2021-02-19,157.2
2021-02-18,157.5
2021-02-17,157.5
2021-02-16,157.7
2021-02-15,158.3
2021-02-14,160.5
2021-02-11,156.1
2021-02-10,155.4
2021-02-08,157.3
2021-02-07,157.0
2021-02-06,155.5
2021-02-05,156.0
2021-02-04,156.2
2021-02-03,155.8
2021-02-02,157.1
2021-02-01,159.5
2021-01-31,158.2
2021-01-30,157.1
2021-01-29,156.5
2021-01-28,156.8
2021-01-27,158.2
2021-01-26,160.7
2021-01-25,163.4
2021-01-24,158.6
2021-01-23,154.7
2021-01-21,157.0
2021-01-16,155.6
2021-01-15,154.7
2021-01-14,152.0
2021-01-13,155.0
2021-01-12,155.6
2021-01-11,156.0
2021-01-10,156.0
2021-01-09,156.2
2021-01-08,156.0
2021-01-07,154.2
2021-01-06,155.9
2021-01-05,155.7
2021-01-04,155.3
2020-12-23,154.5
2020-12-22,155.7
2020-12-21,155.3
2020-11-09,160.2
2020-11-06,153.7
2020-11-05,153.3
2020-11-04,153.3
2020-11-03,152.0
2020-11-02,153.6
2020-10-14,151.7
2020-09-22,154.7
2020-09-18,150.2
2020-09-11,151.7
2020-09-10,151.3
2020-09-09,152.8
2020-09-04,152.1
2020-08-28,154.2
2020-08-27,156.1
2020-08-26,157.5
2020-08-20,150.3
2020-08-19,150.1
2020-08-18,148.7
2020-08-17,150.9
2020-08-14,150.9
2020-08-12,151.2
2020-08-10,150.4
2020-08-07,153.2
